"@timestamp","msg"
2022-08-22 12:04:10.430,2831
2022-08-22 12:03:58.614,2055
2022-08-22 12:02:10.110,2901
2022-08-22 12:01:56.213,2521
2022-08-22 12:00:13.521,4556
2022-08-22 11:59:58.565,2161
2022-08-22 11:58:10.109,2856
2022-08-22 11:57:55.680,2283
2022-08-22 11:56:10.901,2814
2022-08-22 11:55:55.493,1974
2022-08-22 11:54:12.202,2875
2022-08-22 11:53:58.669,2694
2022-08-22 11:52:09.994,2683
2022-08-22 11:51:57.753,2887
2022-08-22 11:50:10.836,3171
2022-08-22 11:49:58.901,2088
2022-08-22 11:48:10.025,2909
2022-08-22 11:47:55.518,2063
2022-08-22 11:46:09.834,3498
2022-08-22 11:45:56.957,2635
2022-08-22 11:44:09.510,2787
2022-08-22 11:43:58.552,2538
2022-08-22 11:42:09.179,2988
2022-08-22 11:41:58.164,2676
2022-08-22 11:40:10.258,2670
2022-08-22 11:40:03.747,3306
2022-08-22 11:39:58.373,2386
2022-08-22 11:38:11.300,3093
2022-08-22 11:37:56.851,2471
2022-08-22 11:36:11.059,2775
2022-08-22 11:35:58.655,2951

